"✦  MASTER SUPPLIER DATABASE  |  CRM-READY  |  4,661 SUPPLIERS  |  DE-DUPLICATED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION A — SUPPLIER IDENTITY,,,,,,,,,SECTION B — CONTACT INFORMATION,,,,,,,,,,SECTION C — BUSINESS DETAILS,,,,,,,,,,,,,,,SECTION D — COMMERCIAL TERMS,,,,,,,SECTION E — CRM INTERNAL TRACKING,,,,,,,,,,,,
Supplier ID,Company Name,Country,City,Full Address,Website,Year First Added,Source Sheet,Current Status,Primary Contact Name,Designation,Email,Phone,WhatsApp,Legal Name,Secondary Contact Name,Secondary Email,Secondary Phone,Account Manager,Product Category,Products,Sub-category,Commodity Type,Annual Production Capacity,MOQ,Price Range,Currency,Export Markets,Certifications,Cert Body,Cert Status,Cert Expiry Date,Years in Business,Factory Type,Payment Terms,Incoterms,Lead Time,Port of Loading,Packaging Type,Private Label Available,Compliance Documents Available,Lead Source,Risk Score,Due Diligence Status,Last Contact Date,Follow-up Required,Follow-up Date,Internal Notes,Contract Signed,Contract Date,Latest Quotation,Performance Rating,Blacklisted,Notes
SUP-00016,2024,,,,,2023,22-23_Dried Fruits & Nuts | 22-23_Chicken Feet | 22-23_Shrimps | 22-23_Almonds - Ruchita,Active,,,,,,,,,,,Dried Fruits & Nuts | Chicken Feet | Shrimps | Almonds - Ruchita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00017,20.8.24,,,,,2024,23-24_Shrimps,Active,,,,,,,,,,,Shrimps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00018,21/03/2024,,,,,2023,22-23_CASHEW,Active,,,,,,,,,,,CASHEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00019,22/03/2024,,,,,2023,22-23_Hazelnuts,Active,,,,,,,,,,,Hazelnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00020,23/03/2024,,,,,2023,22-23_CASHEW  | 22-23_Hazelnuts,Active,,,,,,,,,,,CASHEW  | Hazelnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00021,24.10.2024,,,,,2023,22-23_Condom,Active,,,,,,,,,,,Condom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00022,25.10.2024,,,,,2024,23-24_Nuts List,Active,,,,,,,,,,,Nuts List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00023,25.6.25,,,,,2025,2025_Instant Noodles,Active,,,,,,,,,,,Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00024,26.8.24,,,,,2024,23-24_Pulses,Active,,,,,,,,,,,Pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00025,"3 Seasons Fruit Industry Co., Ltd.",Thailand,Chonburi,,,2026,2026_Dried_Fruits | 23-24_SIAL FROZEN FOOD | 23-24_Dried Fruits List,Active,,,sales@3seasons-fruit.com,,,,,,,,Dried Fruits | SIAL FROZEN FOOD | Dried Fruits List,"Frozen fruit and vegetables, focused on IQF freezing technology | store",,,,,,,,Food,Bureau Veritas Certification UK,Certificated,2026-02-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
SUP-00026,4 - other product,,,,,2024,23-24_Sial Rice,Active,,,,,,,,,,,Sial Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00027,4- already contacted,,,,,2024,23-24_Sial Rice,Active,,,,,,,,,,,Sial Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00028,8- Intro email sent,,,,,2024,23-24_Sial Rice,Active,,,,,,,,,,,Sial Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00029,A M Fisheries,India,,,website not available,2024,23-24_Shrimps,Active,,,,,,,,,,,Shrimps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00030,A. M. Hygiene,India,,,TradeIndia listing,2025,NEW2025_alcohol wipes,Active,,,sales@amhygiene.co.in,,,,,,,,alcohol wipes,Manufacturer/supplier; custom orders possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00031,A. P. Organics Ltd.,India,,,https://ricela.com/about-us-2/,2024,23-24_Rice list,Active,1800 180 2411,,info@ricela.com,,,,,,,,Rice list,Rice Bran Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00032,A-1 Overseas,,,,https://www.a1overseas.com/,2023,22-23_WHITE CORN MAIZE,Active,,,info@a1overseas.com /a1a.overseas@gmail.com,,,,,,,,WHITE CORN MAIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price received but seems very high
SUP-00033,AAA GROWERS LTD.,Kenya,,,https://www.aaagrowers.co.ke/,2024,23-24_Macadamia Nut jan 25,Active,,,sales@aaagrowers.co.ke,,,,,,,,Macadamia Nut jan 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00034,Aadhi Cashews Foods,,,,,2024,23-24_ Cashew supplier for Midd,Active,,,11.11.24 - intro email sent,,,,,,,,Cashew supplier for Middle Eas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00035,AADHYA ORGANIC HERBS PRIVATE LIMITED,India,,,herbs and spices,2024,23-24_Pulses  | 23-24_Spices,Active,,,,,,,,,,,Pulses  | Spices,Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00036,Aaha Impex,India,,,,2024,Inactive_Suppliers,Inactive,,,,,,,,,,Vandana,Pulses and Lentils,Red Lentils,,,,,,,,"Aaha Impex, India",,,,,,,,,,,,,,,,,,,,,,,,,"WEEK 34
(19.8.24 - 25.8.24): 19.8.24 - awaiting response from supplier on checklist 
22.8.24 -- rechecking with supplier sample policy and cif price which is quite high | WEEK 35
(26.8 - 1.9): 27.8.24 -- reminder sent for the checklist | WEEK 33 
(12.8.24 - 18.8.24): 16.8.24 -- supplier shared a query of pesticides list sent email to Kevin | WEEK 36: 2.9.24 -- reminder sent on whats app for reply | WEEK 37: closed"
SUP-00037,AAHA IMPEX PVT. LTD.,India,,,https://www.aahaimpex.in/,2024,23-24_Pulses,Active,,,"info@aahaimpex.com, neha@aahaimpex.com",,,,,,,,Pulses,Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00038,AAKAR EXPORTS,,,RAJASTHAN,https://www.aakarexports.net/,2023,22-23_Ground Spices,Active,9687226560,,kavitapadia@hotmail.com,,,,,,,,Ground Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00039,aanutts,,,,,2024,23-24_ Cashew supplier for Midd,Active,,,11.11.24 - intro email sent,,,,,,,,Cashew supplier for Middle Eas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00040,Aarana Textile,,,,https://aarnatextile.com/,2025,NEW2025_Medical Uniform,Active,,,sourcing@aarnatextile.com,,,,,,,,Medical Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00041,AARAX FOODSTUFF CO L.L.C,UAE,DUBAI,,,2026,2026_Dried_Fruits,Active,,,,,,,,,,,Dried Fruits,,,,,,,,,Food,SGS United Kingdom Ltd,Certificated,2026-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,
SUP-00042,AARNA TEXTILE,,,,,2024,Inactive_Suppliers,Inactive,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnamed: 76: 8.12.25 -- sent checklist for information | Unnamed: 77: 16.12.25 - follow up email sent
SUP-00043,Aarna Textile Export,India,,,https://aarnatextile.com/#capacity,2025,NEW2025_Hospital  Textiles,Active,,,sourcing@aarnatextile.com,,,,,,,,Hospital  Textiles,Hospital Uniforms,,,,,,,,,,,,,,,,,,,,,,,,2025-09-17 00:00:00,,,,,,,,,First contact: 2025-09-17 00:00:00 | Follow Up 1: 2025-09-23 00:00:00
SUP-00044,"Aarneea Foods, India",India,,,,2024,Inactive_Suppliers,Inactive,,,,,,,,,,Peanut Butter,,,,,,,,,,13.10.25 Np reply from buyer,,,,,,,,,,,,,,,,,,,,,,"MARCH 2025

14/03/2025

17/03/2025

20/03/2025

25/03/2025

31/03/2025



APRIL 2025

02/04/2025

07-10/04/2025

14/04/2025

18/04/2025

23/04/2025

29/04/2025









30/04/2025







MAY 2025

05/05/2025

09/05/2025

12/05/2025

14/05/2025

15/05/2025

19/05/2025

26/05/2025

JUNE 2025

02/06/2025

12/06/2025

16/06/2025

20/06/2025

25/06/2025

JULY 2025

07/07/2025

08-10/07/2025

24/07/2025

25/07/2025

AUGUST 2025

01/08/2025





04/08/2025

13/08/2025

SEPTEMBER 2025

24/09/2025

26/09/2025

30/09/2025",,,"Unnamed: 8: March 2025

Buyer requested FOB pricing.

Supplier sent query regarding oil addition.

Call held with supplier to arrange meeting with buyer for clarifications.

Supplier shared FOB prices with buyer; awaiting response.

Supplier planned to send samples; shared peanut butter pictures (Swatberg recipe) to confirm recipe, color, texture.

Buyer clarified that the Netherlands version differs and asked for quote accordingly.

April 2025

Supplier compiled all specifications for Swatberg in Excel for buyer approval; awaiting response.

Logistics delay due to courier account issue; samples dispatched 10.4.25.

Samples sent on 11.4.25, email confirmation sent.

Samples expected mid-next week.

Samples delivered; supplier requested buyer confirmation.

Buyer feedback —

Creamy sample too roasted; needs adjustment.

Texture and color good.

Crunchy sample lacked enough peanut bits compared to Skippy.

Requested reworked samples.

Supplier’s response —

Sent PET jar samples (Dr. Oetker recipe) for review.

Requested Skippy ingredient photo for reference.

Asked for % increase desired in crunchy bits and feedback on particle size.

May 2025

Supplier shared low-budget prices with Stefan; Netherlands & Belgium team traveling.

Buyer sent Skippy pictures for revised samples.

Buyer asked for 76% peanut price; supplier confirmed revised samples soon.

CIF pricing details shared.

Buyer requested 5 low-budget samples each of creamy & crunchy; supplier to send with premium samples.

Buyer confirmed 3 samples of each regular recipe.

91% peanut samples ready; low-budget still in process, dispatch planned same week.

June 2025

Supplier received Skippy sample; planned to dispatch revised samples this week.

Revised samples expected to be sent by weekend.

Skippy alternative sample planned to send today.

Sample dispatched; awaiting tracking details.

Reminder sent for dispatch details; low-budget sample expected early July (special development).

July 2025

Awaiting buyer feedback on Skippy sample.

Low-budget samples dispatched 8th July; expected to arrive next week.

Economy peanut butter delivered; awaiting feedback.

Buyer confirmed receipt of low-budget samples; Skippy tasting planned next week.

August 2025

Buyer forwarded samples to Dutch colleague for feedback; requested FOB price.

Supplier quoted $9 per box (76% peanut).

Buyer decided to pause 91% peanut and focus on 76% peanut version.

Supplier shared full price list for low-budget peanut butter; awaiting feedback.

Supplier sent follow-up email for feedback.

September 2025

Buyer to share feedback soon on economical (low-budget) variety.

Buyer rejected both 91% and 76% versions; requested revised low-budget samples, 91% on hold.

Supplier requested EEC help for low-budget sample; informed to contact buyer instead. Supplier confirmed that he will send a request email to the buyer for low-budget samples | Unnamed: 38: 14.3.25 -- Buyer has sent email for fob pricing 
17.3.25 -- supplier has sent prices
18.3.25 - Await response from J&K
19.3.25 -- J&K has confirmed price fob $0.75pjar for Lidl
20.3.25 -- Informed supplier about price to quote on email and whatsapp as well | Unnamed: 39: 25.3.25-- supplier sent some packaging 
supplier shared prices with buyer and buyer confirm to send 6 pcs samples | Unnamed: 40: 31.3.25-- supplier suppose to send samples today

Supplier has sent picture of peanut butter made by Swatberg and ask buyer if they are refering the same recipe,, color, texture.

Buyer replied that they have a differnt quality in the Netherlands and inform supplier to  quote for this as well.

2.4.25 -- supplier has collate all the details in one excel with all the specification for Swatberg for buyer approval

Awaiting buyer response | Unnamed: 41: 7.4.25 -- due to some logisitics issues (supplier account with courier agency was frozen due to some documents needing updation) they have not been able to ship them out.. as soon as they leave / supplier will send tracking details to buyer.

8.4.25 -- Samples will be dispatch after 1-2 days as per supplier reply

10.4.25 -- Samples will dispatch today. | Unnamed: 38: 20.3.25 -CIF price inquiry sent 
Awaited prices | Unnamed: 40: 31.3.25 -- Kaufland working process is little slow - message from Ma'am | Unnamed: 42: 15.4.25 -- Supplier received email from buyer for meeting 

Supplier confirm meeting day 23rd april -10am Germany time | Unnamed: 43: 23.04.25 - 
Ms Larissa and Ms. Lisa have attended and they have given a small brief about what they are looking for.

Kaufland is currently looking for peanut butter for which the peanuts are sourced from the US. They have asked if the supplier can source peanuts from the US and then produce peanut butter. The supplier has refused, saying that he does produce peanut butter from peanuts sourced from India, and he will be able to offer that product to Kaufland. However, Kaufland has replied that they have a mandate that the peanuts need to be sourced from the US for their private label peanut butter. 

Kaufland has also informed that the tender for regular Peanut Butter - Creamy and crunchy tender will be open from mid of May end of June. But they are not sure if the US mandate will be removed by then. 

The supplier has asked Kaufland to let him know once the mandate is lifted so that they can start discussions on the Indian Peanut Butter | Unnamed: 44: 2.5.25 -- sent follow up message if they have recevived any email from Kaufland"
SUP-00045,Aarneea Foods LLP,India,,,,2024,Signed_Contracts,Signed,Mr Kartikeya Shah (Managing Director),,,,,,,,,,Peanuts and Peanut Butter,Peanuts and Peanut Butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,"Contract with: Lidl, Norma, ASDA and M&S | Commission: 5%"
SUP-00046,AATISH INDUSTRIES,India,,,"Senna Products, Sesame Seeds and Whole Spices",2024,23-24_Pulses  | 23-24_Spices,Active,,,,,,,,,,,Pulses  | Spices,Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00047,AB Bodén & Lindeberg/Sellton Försäljning AB,Sweden,Kungsängen,,,2026,2026_Dried_Fruits | 23-24_Dried Fruits List,Active,,,,,,,,,,,Dried Fruits | Dried Fruits List,importer,,,,,,,,Food,Kiwa Agri Food,Certificated,2026-12-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,
SUP-00048,AB Sugar,,,,https://absugars.com/,2024,23-24_Sugar,Active,,,,,,,,,,,Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00049,Abad Fisheries,,,,https://abadfisheries.com/,2024,23-24_Shrimps,Active,,,info@abad.in,,,,,,,,Shrimps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00050,Abad Overseas Private Limited,India,,,https://abadsupershrimp.com/,2024,23-24_Shrimps | NEW2025_Frozen Shrimps,Active,,,supershrimp@abad.in,,,,,,,,Shrimps | Frozen Shrimps,Shrimps | Shrimp,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14 00:00:00,,,,,,,,,First contact: 2025-08-14 00:00:00 | Follow Up 1: 2025-08-19 00:00:00 | First contact: 2025-09-23 00:00:00 | Follow Up 1: NaT
SUP-00051,"Abad Overseas Private Limited ASC-C-02948 0 ""Whiteleg shrimp",,,,,2024,23-24_ASC Shrimp,Active,,,,,,,,,,,ASC Shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00052,Abad Overseas Pvt Ltd,India,,,https://abadsupershrimp.com/,2024,23-24_Shrimps,Active,914844104000,,supershrimp@abad.in,,,,,,,,Shrimps,freshly frozen Seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00053,ABALIOĞLU YAĞ SANAYİ VE TİCARET A.Ş.,,,,https://www.abaliogluyag.com/,2024,23-24_Juergan List,Active,Asli Özkan,,,,,,,,,,Juergan List,Sonnenblumenöl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00054,ABC Fruits,India,,,https://abcfruits.com/,2024,23-24_Orange Juice  & Concentra,Active,4343 296664,,info@abcfruits.com,,,,,,,,Orange Juice  & Concentrate,Organe Concentrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00055,"ABC President Indonesia, PT",Indonesia,,,www.abcpresident.com,2025,NEW2025_List of Exhibitors f | NEW2025_Instant Noodles,Active,,,"customer@abcpresident.com, B2B@abcpresident.com",,,,,,,,List of Exhibitors for Indonesi | Instant Noodles,Processed Food | Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,2025-09-29 00:00:00,,,,,,,,,First contact: 2025-09-29 00:00:00 | Follow Up 2: NaT
SUP-00056,ABEES NATURAL FOOD PRODUCTS,713,,,no website,2024,23-24_Pulses,Active,,,no website,,,,,,,,Pulses,PULSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00057,Abhiarnav,India,,,abhiarnavfood.com,2025,NEW2025_Anuga - India,Active,,,abhiarnav75@gmail.com,,,,,,,,Anuga - India,Seasonings and Spices,,,,,,,,,,,,,,,,,,,,,,,,Follow up sent 5 Sept,,,,,,,,,First contact: Follow up sent 5 Sept
SUP-00058,Abhitex International,India,,"Plot #3,4,47 & 48, Sector 29, HUDA Part 1, Panipat, INDIA",,2026,2026_Aldi_Textile,Active,,,,,,,,,,,Household Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Workers:
SUP-00059,ABL Nuts ApS,Denmark,Kruså,,https://ablfood.com/,2026,2026_Dried_Fruits | 23-24_Dried Fruits List,Active,45 73687850,,info@ablfood.com,,,,,,,,Dried Fruits | Dried Fruits List,Nuts,,,,,,,,Food,DNV Business Assurance Italy S.r.l.,Certificated,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,
SUP-00060,ABS Home Vietnam Company Limited,Vietnam,,"Land plot No. 41, map sheet No.26, Phu Tan Hamlet, Chau Hoa, Giong Trom District Bến Tre VIET NAM",,2026,2026_Aldi_Textile,Active,,,,,,,,,,,Household Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Workers: 1-500 workers
SUP-00061,Abunda S.A,Paraguay,,,"sales@abunda-sa.com,TPfeiffer@abunda-us.com",2024,23-24_Chia Seeds NOv 24 | Inactive_Suppliers,Active,,,https://abunda-sa.com/,,,,,,,Vandana,"Chia Seeds NOv 24 | Organic Quinoa/Chia seeds , Germany",Organic Chia Seeds/Quinoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unnamed: 27: 4.12.24 -- supplier oversold all stock | Unnamed: 28: no stock available as per buyer email | Unnamed: 29: emailed supplier checklist and asked new crop avaibility
19.12.24 -- reminder sent for email reply | Unnamed: 30: 2.1.24 -- new crop will be in July and will discuss about the business in july"
SUP-00062,ACA miniatur (Mitra Binaan Dinas Perindustrian dan Perdagangan Provinsi Jawa Timur,,,,https://disperindag.jatimprov.go.id/,2025,NEW2025_List of Exhibitors f,Active,,,,,,,,,,,List of Exhibitors for Indonesi,Handicraft Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00063,ACB (Nouvelle Aquaculture de Crevettes de Besalampy),Madagascar,,,website not available,2024,23-24_Shrimps,Active,,,,,,,,,,,Shrimps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00064,ACBON INTERNATIONAL LLP,713,,,no website,2024,23-24_Pulses,Active,,,no website,,,,,,,,Pulses,"KIDNEY BEANS, CHICKPEAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00065,ACCELERATED FREEZE DRYING COMPANY LIMITED (UNIT 2),India,,,https://amalgamfoods.com/afdc/,2024,23-24_Shrimps,Active,(91) 484 266 8680,,afdcsales@amalgamfoods.in,,,,,,,,Shrimps,frozen seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00066,Accelerated Freeze Drying Company Limited (Unit-2),India,,,Repeat of row 61 & 62,2025,NEW2025_Frozen Shrimps,Active,,,,,,,,,,,Frozen Shrimps,Shrimp,,,,,,,,,,,,,,,,,,,,,,,,2025-09-23 00:00:00,,,,,,,,,First contact: 2025-09-23 00:00:00 | Follow Up 1: NaT
SUP-00067,"Accelerated Freeze Drying Company Limited (Unit-2) ASC-C-43696 0 Whiteleg shrimp Litopenaeus vannamei Accelerated Freeze Drying Company Limited (Unit-2) 04-03-2027 00:00 Certified ""14/418",,,,,2024,23-24_ASC Shrimp,Active,,,,,,,,,,,ASC Shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00068,Accelerated Freeze Drying Company Ltd.,India,,,https://amalgamfoods.com/afdc/,2024,23-24_Shrimps | NEW2025_Frozen Shrimps,Active,(91) 484 266 8680,,afdcsales@amalgamfoods.in,,,,,,,,Shrimps | Frozen Shrimps,frozen seafood | Shrimp,,,,,,,,,,,,,,,,,,,,,,,,2025-09-23 00:00:00,,,,,,,,,First contact: 2025-09-23 00:00:00 | Follow Up 1: NaT
SUP-00069,"Accelerated Freeze Drying Company Ltd ASC-C-02418 0 ""Striped catfish",,,,,2024,23-24_ASC Shrimp,Active,,,,,,,,,,,ASC Shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00070,ACCURA ENTERPRISES PVT LTD,India,,,no website,2024,23-24_Pulses  | 23-24_Spices,Active,,,,,,,,,,,Pulses  | Spices,Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00071,ACECOOK,Japan / Vietnam,,NO ADDRESS,https://acecookvietnam.vn/,2023,22-23_READY TO EAT NOODLES | NEW2025_Instant Noodles,Active,842838154064,,thaobtl.hcm@acecookvietnam.vn,,,,,,,,READY TO EAT NOODLES | Instant Noodles,Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,2025-09-19 00:00:00,,,,,,,,,"Ma'am called up and spoke with Ms Bella, she requested to send intro email with mentioning rice noodles and instant noodles....both categories of noodles....Flavours we can do chicken, and non spicy options-- email sent | First contact: 2025-09-19 00:00:00 | Follow Up 2: NaT"
SUP-00072,Acecook Viet Nam JSC - Bac Ninh Branch- Factory 2,Vietnam,,,https://acecookvietnam.vn/en/,2024,23-24_Rice list,Active,(028) 3815 4064,,info@acecookvietnam.com,,,,,,,,Rice list,"Instant Noodles, Rice Vermicelli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00073,ACECOOK VIETNAM JOINT STOCK COMPANY - VINH LONG BRANCH,Vietnam,,,https://acecookvietnam.vn/en/,2024,23-24_Rice list,Active,(028) 3815 4064,,info@acecookvietnam.com,,,,,,,,Rice list,"Instant Noodles, Rice Vermicelli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00074,ACECOOK VIETNAM JSC – BINH DUONG BRANCH,Vietnam,,,https://acecookvietnam.vn/en/,2024,23-24_Rice list,Active,(028) 3815 4064,,info@acecookvietnam.com,,,,,,,,Rice list,"Instant Noodles, Rice Vermicelli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP-00075,Acecook Vietnam JSC / HO CHI MINH FACTORY,Vietnam,,,https://acecookvietnam.vn/,2025,2025_Instant Noodles | NEW2025_BRC Instant Noodles,Active,,,"binhtp@acecookvietnam.com (mail failure) taken from BRC website, 	h-kurose@acecook.co.jp, info@acecookvietnam.com",,,,,,,,Instant Noodles | BRC Instant Noodles,,,,,,,,,,,,,,,,,,,,,,,,,19.9.2025,,,,,,,,,First contact: 19.9.2025
SUP-00076,Achal Cashew Private Limited,,,,,2024,23-24_ Cashew supplier for Midd,Active,,,,,,,,,,,Cashew supplier for Middle Eas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
